"origin","station_id","name","top_destination","state","status"
"281","12381","Alagapuri","0","","0"
"282","9374","Alagiapandiapuram","0","","0"
"283","16255","Alai (Rajasthan)","0","","0"
"284","4530","Alakode","0","","0"
"285","6394","Alamanda","0","","0"
"286","10210","Alamcode","0","","0"
"287","19111","Alamgarh (punjab)","0","","0"
"288","733","Alamnagar","0","","0"
"289","1270","Alampur (Himachal Pradesh)","0","","0"
"290","12349","Alampur (Mp)","0","","0"
"291","2836","Alampur(west Bengal)","0","","0"
"292","12208","Alamsar","0","","0"
"293","488","Alamuru","0","","0"
"294","7538","Alamuru (east Godavari)","0","","0"
"295","10288","Alanallur","0","","0"
"296","13729","Aland","0","","0"
"297","1158","Aland","0","","0"
"298","1224","Alandi","0","","0"
"299","10252","Alang","0","","0"
"300","16728","Alanganallur (tamil Nadu)","0","","0"
"301","16857","Alanganattham Pirivu (sarkarpalayapalaya","0","","0"
"302","5769","Alangar","0","","0"
"303","8436","Alangiri","0","","0"
"304","5163","Alangudi","0","","0"
"305","13898","Alangudi","0","","0"
"306","13109","Alangudi (thiruvarur)","0","","0"
"307","3932","Alangulam","0","","0"
"308","9483","Alangulam (Rajapalayam)","0","","0"
"309","9110","Alangulam TNC","0","","0"
"310","2385","Alankarpur","0","","0"
"311","7188","Alanthalai","0","","0"
"312","9495","Alappuzha","0","","0"
"313","21873","Alari  (Madhya Pradesh)","0","","0"
"314","12283","Alasan","0","","0"
"315","1122","Alathur","0","","0"
"316","8835","Alathur (Tamil Nadu)","0","","0"
"317","13063","Alave","0","","0"
"318","12792","Alawalpur","0","","0"
"319","11383","Alayala","0","","0"
"320","17064","Albadi (karnataka)","0","","0"
"321","21606","Albaka (Telangana)","0","","0"
"322","15701","Aldona","0","","0"
"323","6995","Aldur","0","","0"
"324","9085","Alephata","0","","0"
"325","6335","Aler","0","","0"
"326","16727","Ali Garh (rajasthan)","0","","0"
"327","12326","Aliabada (Patiya)","0","","0"
"328","5347","Alibag","0","","0"
"329","4782","Alibag Package","0","","0"
"330","11446","Aliganj","0","","0"
"331","3577","Aliganj,bihar","0","","0"
"332","6510","Aligarh","0","","0"
"333","16052","Aligarhwa (uttar Pradesh)","0","","0"
"334","586","Alike","0","","0"
"335","15967","Alipur","0","","0"
"336","11940","Alipura","0","","0"
"337","1300","Alipurduar","0","","0"
"338","3798","Alirajpur","0","","0"
"339","21865","Alisarkheda  (Madhya Pradesh)","0","","0"
"340","3232","Alisinga","0","","0"
"341","15819","Aliyabada","0","","0"
"342","16858","Aliyar (tamil Nadu)","0","","0"
"343","17364","Aliyur (karnataka)","0","","0"
"344","3093","Alkuti(maharashtra)","0","","0"
"345","9473","Allagadda","0","","0"
"346","10956","Allaganj","0","","0"
"347","9190","Allahabad","0","","0"
"348","11962","Allampuram","0","","0"
"349","9441","Allapadu","0","","0"
"350","3080","Allapalli(maharashtra)","0","","0"
"351","593","Allavaram","0","","0"
"352","16007","Alleppey Package","0","","0"
"353","13295","Allia, Assam","0","","0"
"354","5466","Allur","0","","0"
"355","10070","Alluru","0","","0"
"356","8478","ALMATTI","0","","0"
"357","10063","Almel","0","","0"
"358","7415","Almora","0","","0"
"359","6914","Alnavar","0","","0"
"360","17702","Aloda","0","","0"
"361","22045","Aloor (Kerala)","0","","0"
"362","12368","Alore","0","","0"
"363","3924","Alote","0","","0"
"364","7979","Alsindi","0","","0"
"365","458","Alsisar","0","","0"
"366","3476","Alur","0","","0"
"367","6412","Alur(adoni)","0","","0"
"368","3779","Aluva","0","","0"
"369","605","Alwandi","0","","0"
"370","2132","Alwar","0","","0"
"371","4418","Alwarkurichi","0","","0"
"372","4293","Alwarthirunagari","0","","0"
"373","12174","Amabera","0","","0"
"374","7288","Amadagur","0","","0"
"375","8019","Amadalavalasa","0","","0"
"376","10879","Amagohan","0","","0"
"377","11420","Amakona","0","","0"
"378","1675","Amalapuram","0","","0"
"379","13264","Amalazari, Karnataka","0","","0"
"380","7252","Amalner","0","","0"
"381","21900","Amaltas Hospital  (Madhya Pradesh)","0","","0"
"382","13025","Amamora, Chhattisgarh","0","","0"
"383","6950","Amanganj","0","","0"
"384","16859","Amaradaki (tamil Nadu)","0","","0"
"385","12021","Amarapur","0","","0"
"386","4158","Amarapuram","0","","0"
"387","3921","Amaravathi","0","","0"
"388","22441","Amaravati","0","","0"
"389","10947","Amaravila","0","","0"
"390","13539","Amarda","0","","0"
"391","8153","Amarda","0","","0"
"392","6155","Amareshwara Camp","0","","0"
"393","6438","Amargadh","0","","0"
"394","10670","Amaria","0","","0"
"395","10801","Amarkantak","0","","0"
"396","7269","Amarnagar","0","","0"
"397","5580","Amarpatan","0","","0"
"398","12259","Amarpur","0","","0"
"399","10838","Amarpura","0","","0"
"400","814","Amarshi","0","","0"
"401","10806","Amarwara","0","","0"
"402","7435","Amas","0","","0"
